order,list,item,condition,target_notional_num,competitor_num,ambiguity,target,competitor,target ID,targetPos,compPos,comp2Pos,destPos,locPhrase,sentence,firstDisplay,secondDisplay,expTrials
41,3,X06,9,,,,,,,2,4,6,1,above,"The bath tub is on number 2, on the row above the biscuit and the bouncer.",X06_9_1.jpg,X06_9_2.jpg,N
41,4,X06,9,,,,,,,2,4,6,1,above,"The bath tub is on number 2, on the row above the biscuit and the bouncer.",X06_9_1.jpg,X06_9_2.jpg,N
42,1,X14,9,,,,,,,6,4,,3,,On number 6 there is a magician.,X14_9_1.jpg,X14_9_2.jpg,N
42,2,X14,9,,,,,,,6,4,,3,,On number 6 there is a magician.,X14_9_1.jpg,X14_9_2.jpg,N
42,3,X14,9,,,,,,,6,4,,3,,On number 6 there is a magician.,X14_9_1.jpg,X14_9_2.jpg,N
42,4,X14,9,,,,,,,6,4,,3,,On number 6 there is a magician.,X14_9_1.jpg,X14_9_2.jpg,N
43,1,13,2,1,2,ambiguous,stairs,soaps,9,5,3,,1,below,The stairs below the soaps are on number 5.,E13_2_1.jpg,E13_2_2.jpg,Y
43,2,13,3,2,1,unambiguous,stairs,soap,9,5,3,,1,below,The stairs below the soap are on number 5.,E13_3_1.jpg,E13_3_2.jpg,Y
43,3,13,4,2,2,ambiguous,stairs,soaps,9,5,3,,1,below,The stairs below the soaps are on number 5.,E13_4_1.jpg,E13_4_2.jpg,Y
43,4,13,1,1,1,unambiguous,stairs,soap,9,5,3,,1,below,The stairs below the soap are on number 5.,E13_1_1.jpg,E13_1_2.jpg,Y
44,1,X65,9,,,,,,,3,,,2,,There is a cake on number 3.,X65_9_1.jpg,X65_9_2.jpg,N
44,2,X65,9,,,,,,,3,,,2,,There is a cake on number 3.,X65_9_1.jpg,X65_9_2.jpg,N
44,3,X65,9,,,,,,,3,,,2,,There is a cake on number 3.,X65_9_1.jpg,X65_9_2.jpg,N
44,4,X65,9,,,,,,,3,,,2,,There is a cake on number 3.,X65_9_1.jpg,X65_9_2.jpg,N
45,1,X18,9,,,,,,,1,4,5,2,above,"The bee is on number 1, on the row above the police man and the chocolate.",X18_9_1.jpg,X18_9_2.jpg,N
45,2,X18,9,,,,,,,1,4,5,2,above,"The bee is on number 1, on the row above the police man and the chocolate.",X18_9_1.jpg,X18_9_2.jpg,N
45,3,X18,9,,,,,,,1,4,5,2,above,"The bee is on number 1, on the row above the police man and the chocolate.",X18_9_1.jpg,X18_9_2.jpg,N
45,4,X18,9,,,,,,,1,4,5,2,above,"The bee is on number 1, on the row above the police man and the chocolate.",X18_9_1.jpg,X18_9_2.jpg,N
46,1,14,3,2,1,unambiguous,glasses,envelope,4,4,2,,6,below,The glasses below the envelope are on number 4.,E14_3_1.jpg,E14_3_2.jpg,Y
46,2,14,4,2,2,ambiguous,glasses,envelopes,4,4,2,,6,below,The glasses below the envelopes are on number 4.,E14_4_1.jpg,E14_4_2.jpg,Y
46,3,14,1,1,1,unambiguous,glasses,envelope,4,4,2,,6,below,The glasses below the envelope are on number 4.,E14_1_1.jpg,E14_1_2.jpg,Y
